State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,,,,,,,,,,,,,,3.766707169,,,,2.404897245,1.736972705,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,823,,,,2287,403,,,,,,,,,,,,,,,,,
1,,,,,,,,1.25,2.054794521,,,,,,,7.075471698,,,,,,,,,,,,,,,,,,,,
,,,,,,,,80,146,,,,,,,212,,,,,,,,,,,,,,,,,,,,
1,,,,,,3,,4.87804878,,,,,,9.565217391,,,,,,,,,,,,,,,,,,,,,,
,,,,,,300,,246,,,,,,115,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,3.225806452,4.166666667,,,,,1.724137931,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,124,120,,,,,58,,,,,,,,,
1,,,,,,,,,,,,,,,4.850746269,5.03875969,,,,,,,,2.409638554,,,,,,,,,,,,
,,,,,,,,,,,,,,,268,258,,,,,,,,332,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,11.39240506,11.71548117,,,,,,,1.612903226,,,,,,,,,,,
,,,,,,,,,,,,,,,,,158,239,,,,,,,124,,,,,,,,,,,
1,,,,,,,,,,21.71428571,,65.15151515,,,,,,,4.708520179,,,,,,,,,,,,,,,,,
,,,,,,,,,,175,,66,,,,,,,446,,,,,,,,,,,,,,,,,
1,,,,,,,16.00831601,,,,,,,,,,,,,,,,0,1.282051282,,,,,,,,,,,,
,,,,,,,962,,,,,,,,,,,,,,,,73,78,,,,,,,,,,,,
1,,,,,,5.911330049,2.272727273,,,,,,,,,,,,,,,,,,,,11.68831169,,,,,,,,,
,,,,,,203,176,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,
1,,,,,,,,,,,,,,,,5.699481865,,9.958506224,,,,3.053435115,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,193,,241,,,,524,,,,,,,,,,,,,,
1,,,,,,19.51219512,,,,,,,,,,,,,,,,5.511811024,,,3.636363636,,,,,,,,,,,
,,,,,,205,,,,,,,,,,,,,,,,254,,,385,,,,,,,,,,,
1,,,,,,0,,,6,,,,,,,,,,,,,,,,,,4.132231405,,,,,,,,,
,,,,,,187,,,200,,,,,,,,,,,,,,,,,,121,,,,,,,,,
1,,,,,0.583090379,,,,,,,,8.256880734,,,,,,,,3.47826087,,,,,,,,,,,,,,,
,,,,,343,,,,,,,,109,,,,,,,,115,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,14.79289941,,,,,,,,,,1.084598698,1.996672213,,,,,,,,,
,,,,,,,,,,,,,,,,169,,,,,,,,,,461,601,,,,,,,,,
1,,,,,,,,,,,,,,,,,6.015037594,,,,,,2.527075812,5.119453925,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,133,,,,,,277,293,,,,,,,,,,,,
2,,,,,,,,,,,,,,11.29707113,,5.555555556,3.546099291,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,239,,252,282,,,,,,,,,,,,,,,,,,,
2,,,,,,,,13.04347826,,,,,,,,12.96296296,,,,,,,2.898550725,,,,,,,,,,,,,
,,,,,,,,230,,,,,,,,108,,,,,,,69,,,,,,,,,,,,,
2,,,,,,,,,,,,4,,,,3.278688525,,,,,,,,4.411764706,,,,,,,,,,,,
,,,,,,,,,,,,200,,,,366,,,,,,,,136,,,,,,,,,,,,
2,,,,,4.421768707,,,,,,,,,,3,,,,,,,,,0.996677741,,,,,,,,,,,,
,,,,,294,,,,,,,,,,100,,,,,,,,,301,,,,,,,,,,,,
3,,,,,,,,,8.071748879,,,,,,6.875,3.921568627,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,223,,,,,,160,153,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,8.928571429,,,,,,,6.666666667,,,,,,,,,,,12.42236025,,,,,,,,,
,,,,,,,,,168,,,,,,,150,,,,,,,,,,,161,,,,,,,,,
4,,,,,,,,,,,,,,,7.692307692,,,6.060606061,,,,,,2.962962963,,,,,,,,,,,,
,,,,,,,,,,,,,,,143,,,132,,,,,,270,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,3.153153153,2.094240838,,,,,,,,1.045296167,,,,,,,,,
,,,,,,,,,,,,,,,,,,222,191,,,,,,,,287,,,,,,,,,
4,,,,,,,,6,,,,,,,,,7.619047619,,,5.147058824,,,,,,,,,,,,,,,,
,,,,,,,,200,,,,,,,,,105,,,136,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,9.523809524,9.426229508,8.396946565,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,252,244,262,,,,,,,,,,,,,,,,,,,
4,,,,,,,1.866666667,,,,,4.166666667,9.649122807,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,375,,,,,72,114,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,6.40569395,4.054054054,,,,,,0.636942675,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,281,296,,,,,,157,,,,,,,,,
4,,,,,,,5.555555556,,,,,,10,6.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,216,,,,,,100,200,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2.285714286,2.105263158,,,,,,3.398058252,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,350,380,,,,,,206,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,5.208333333,,11.41439206,,,,,,9.523809524,,,,,,,,,,,,,,,,,,,,,
,,,,,,,288,,403,,,,,,252,,,,,,,,,,,,,,,,,,,,,
